Organization Code,Orgnazation Name,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,White,Native Hawaiian or Other Pacific Islander,Two or More Races,Percent Minority,Year,% FREE AND REDUCED,K-12 COUNT,All Students Graduation Rate,All Students Completion Rate,Female Graduation Rate,Male Graduation Rate,Female Completion Rate,Male Completion Rate,Pupil/Teacher Ratio,T_Ind_F,T_Ind_M,T_Ind_T,T_As_F,T_As_M,T_As_T,T_Bl_F,T_Bl_M,T_Bl_T,T_Hi_F,T_Hi_M,T_Hi_T,T_Pac_F,T_Pac_M,T_Pac_T,T_Two_F,T_Two_M,T_Two_T,T_Whi_F,T_Whi_M,T_Whi_T,T_Total_Count,Total FTE,Average Salary
990,WIDEFIELD 3,65,120,889,2719,4748,137,956,0.01,16,0.47,9181,0.801,0.815,0.835,0.768,0.841,0.79,19.41875,7,2,9,4,2,6,13,4,17,0,0,0,2,1,3,19,2,21,372,106,478,534,528.37,44694
1000,FOUNTAIN 8,81,108,949,2264,3863,138,782,0.01,16,0.511,7826,0.879,0.898,0.899,0.862,0.92,0.879,17.18923077,2,2,4,10,2,12,13,8,21,30,13,43,1,0,1,0,0,0,326,90,416,497,495.31,48098
1010,COLORADO SPRINGS 11,196,438,2089,8514,14426,111,2137,0.01,16,0.601,27245,0.697,0.714,0.763,0.64,0.776,0.659,16.58107143,5,1,6,18,5,23,29,18,47,99,29,128,1,3,4,23,7,30,"1,091",362,"1,453","1,691",1655.58,48305
1020,CHEYENNE MOUNTAIN 12,19,204,138,810,3704,13,336,0.01,16,0.144,5077,0.934,0.94,0.93,0.938,0.936,0.943,15.51818182,3,0,3,2,0,2,0,1,1,8,6,14,0,0,0,2,0,2,250,82,332,354,353.02,44458
1030,MANITOU SPRINGS 14,9,16,19,122,1250,2,70,0.01,16,0.248,1446,0.937,0.952,0.93,0.945,0.944,0.964,14.08,0,0,0,0,1,1,0,0,0,3,0,3,0,0,0,0,0,0,65,37,102,106,103.4,43985
1040,ACADEMY 20,106,1026,801,3426,18533,75,1624,0.01,16,0.135,25218,0.903,0.911,0.923,0.883,0.932,0.89,17.3075,4,0,4,16,0,16,8,4,12,71,19,90,1,0,1,22,3,25,"1,105",329,"1,434","1,582",1498.12,48066
1050,ELLICOTT 22,5,6,50,334,617,6,25,0.01,16,0.674,957,0.788,0.808,0.81,0.774,0.857,0.774,13.74,0,0,0,0,1,1,1,1,2,3,2,5,0,0,0,0,0,0,45,21,66,74,73.73,38782
1060,PEYTON 23 JT,2,8,19,79,513,1,30,0.01,16,0.214,632,0.75,0.75,0.955,0.667,0.955,0.667,12.134,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,34,13,47,48,47.68,37194
1070,HANOVER 28,4,0,6,77,175,0,8,0.01,16,0.743,249,0.824,0.824,1,0.75,1,0.75,14.13,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,11,5,16,18,18,39333
1080,LEWIS-PALMER 38,35,151,78,648,5372,5,288,0.01,16,0.088,6324,0.948,0.952,0.967,0.93,0.971,0.934,18.32888889,2,0,2,0,0,0,0,0,0,5,2,7,0,0,0,9,3,12,270,77,347,368,346.59,45956
1110,FALCON 49,142,453,1136,5371,12082,85,1565,0.01,16,0.311,20505,0.606,0.619,0.623,0.587,0.633,0.603,18.42,8,1,9,10,10,20,14,9,23,32,19,51,3,1,4,0,0,0,727,201,928,"1,035",1037.85,42567
1120,EDISON 54 JT,0,1,4,14,207,0,5,0.01,16,0.41,222,0.68,0.68,0.583,0.769,0.583,0.769,30.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,15,15,13.93,36579
1130,MIAMI/YODER 60 JT,1,0,1,75,213,0,10,0.01,16,0.513,275,0.786,0.786,0.875,0.667,0.875,0.667,14.19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,15,6,21,22,21.94,37716
1140,CANON CITY RE-1,24,24,14,526,2907,1,130,0.01,16,0.505,3626,0.785,0.801,0.817,0.752,0.824,0.776,16.84222222,0,0,0,0,0,0,0,0,0,2,5,7,0,0,0,0,0,0,164,60,224,231,228.23,46110
1150,FREMONT RE-2,4,7,6,230,1032,0,39,0.01,16,0.568,1318,0.761,0.789,0.8,0.722,0.829,0.75,15.575,0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,59,25,84,90,90.94,40600
1160,COTOPAXI RE-3,1,3,0,15,178,0,3,0.01,16,0.513,187,0.625,0.75,0.5,1,0.667,1,10.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,20,20,19.68,38880
1180,ROARING FORK RE-1,18,53,21,3059,2342,4,92,0.01,16,0.424,5410,0.814,0.824,0.883,0.748,0.883,0.767,15.48,1,0,1,1,0,1,0,0,0,15,6,21,0,0,0,0,0,0,296,72,368,391,374.46,49967
1195,GARFIELD RE-2,13,24,16,2278,2457,2,108,0.01,16,0.519,4734,0.871,0.871,0.903,0.842,0.903,0.842,17.388,0,0,0,1,0,1,0,0,0,5,2,7,0,0,0,0,2,2,193,85,278,288,279.41,44013
1220,GARFIELD 16,19,2,8,400,703,2,46,0.01,16,0.555,1092,0.785,0.785,0.76,0.8,0.76,0.8,16.4775,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,51,22,73,74,74.34,46729
1330,GILPIN COUNTY RE-1,0,3,2,59,345,2,24,0.01,16,0.271,402,1,1,1,1,1,1,12.35,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,26,9,35,37,35.22,44529
1350,EAST GRAND 2,11,6,10,170,1010,9,27,0.01,16,0.327,1188,0.92,0.932,0.907,0.933,0.93,0.933,13.7425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,15,94,94,91.42,47391
1360,GUNNISON WATERSHED RE1J,7,9,16,320,1660,1,40,0.01,16,0.262,1975,0.947,0.947,0.952,0.944,0.952,0.944,41.32285714,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,102,34,136,138,131.67,45735
1380,HINSDALE COUNTY RE 1,5,0,1,3,93,1,8,0.01,16,0.385,96,0.909,0.909,1,0.833,1,0.833,10.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,12,11.06,45141
1390,HUERFANO RE-1,24,3,5,334,192,2,2,0.01,16,0.772,526,0.955,0.955,0.857,1,0.857,1,14.72,0,0,0,0,0,0,0,0,0,4,1,5,0,1,1,0,0,0,22,9,31,37,36.82,36781
1400,LA VETA RE-2,1,0,1,57,161,0,0,0.01,16,0.593,214,0.938,0.938,1,0.875,1,0.875,10.625,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,14,6,20,23,20.65,40460
1420,JEFFERSON COUNTY R-1,527,2693,1019,21154,57631,140,3183,0.01,16,0.326,83422,0.828,0.845,0.872,0.787,0.884,0.808,18.28656442,15,11,26,28,12,40,2,7,9,231,61,292,5,1,6,59,14,73,"3,333","1,120","4,453","4,899",4734.32,55435
1430,EADS RE-1,0,0,2,24,166,0,0,0.01,16,0.381,176,0.923,1,1,0.889,1,1,11.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,19,19,17.32,36344
1440,PLAINVIEW RE-2,1,0,2,1,55,0,4,0.01,16,0.603,58,1,1,0,1,0,1,7.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9,9,8.25,32273
1450,ARRIBA-FLAGLER C-20,0,1,0,21,173,0,3,0.01,16,0.555,173,0.8,0.8,0.833,0.778,0.833,0.778,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,19,19,17.82,37737
1460,HI-PLAINS R-23,5,1,3,16,79,0,0,0.01,16,0.522,90,1,1,1,1,1,1,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,17,17,16.95,35221
1480,STRATTON R-4,5,0,0,43,164,0,1,0.01,16,0.563,190,0.929,0.929,0.9,1,0.9,1,10.56666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,5,18,19,18.65,33637
1490,BETHUNE R-5,0,2,0,36,69,1,2,0.01,16,0.788,104,0.714,0.714,0.5,1,0.5,1,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17,17,13.26,41100
1500,BURLINGTON RE-6J,9,11,8,313,427,0,7,0.01,16,0.578,716,0.75,0.75,0.71,0.793,0.71,0.793,14.98333333,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,2,0,2,32,14,46,51,51.12,34505
1510,LAKE COUNTY R-1,4,2,3,732,281,1,10,0.01,16,0.672,931,0.667,0.681,0.789,0.529,0.789,0.559,37.9275,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,39,18,57,60,58.19,39859
1520,DURANGO 9-R,223,37,39,991,3575,3,185,0.01,16,0.332,4895,0.802,0.842,0.871,0.738,0.894,0.794,26.28461538,5,2,7,4,0,4,0,1,1,10,6,16,0,0,0,0,1,1,253,78,331,360,354.46,46518
1530,BAYFIELD 10 JT-R,33,13,5,206,1074,2,48,0.01,16,0.266,1340,0.831,0.883,0.861,0.805,0.889,0.878,14.58333333,1,0,1,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,62,29,91,96,94.53,46574
1540,IGNACIO 11 JT,222,8,4,303,283,3,46,0.01,16,0.577,869,0.754,0.825,0.786,0.724,0.857,0.793,12.48666667,1,0,1,0,0,0,0,0,0,6,4,10,0,0,0,1,1,2,41,16,57,70,69.54,41236
1550,POUDRE R-1,147,900,340,5280,21896,51,1068,0.01,16,0.29,28832,0.814,0.831,0.839,0.791,0.855,0.81,17.30134615,2,3,5,11,4,15,4,2,6,71,26,97,0,0,0,4,2,6,"1,279",427,"1,706","1,835",1738.43,53108
1560,THOMPSON R2-J,80,194,181,3323,12010,17,475,0.01,16,0.392,15708,0.794,0.811,0.832,0.756,0.853,0.77,17.346,3,1,4,6,1,7,0,0,0,28,10,38,0,0,0,0,0,0,651,244,895,944,901.41,49061
1570,ESTES PARK R-3,6,26,9,288,808,3,13,0.01,16,0.405,1114,0.924,0.924,0.903,0.938,0.903,0.938,16.435,0,0,0,0,0,0,0,0,0,3,1,4,1,0,1,1,0,1,51,28,79,85,78.33,47884
1580,TRINIDAD 1,7,5,13,764,239,1,11,0.01,16,0.75,1040,0.862,0.914,0.931,0.793,0.931,0.897,15.935,0,0,0,0,0,0,0,0,0,15,2,17,10,7,17,3,0,3,21,7,28,65,65.01,45184
1590,PRIMERO REORGANIZED 2,7,1,1,67,118,0,4,0.01,16,0.607,183,0.889,1,0.833,1,1,1,10.36,1,0,1,1,0,1,0,0,0,7,2,9,0,0,0,0,0,0,8,3,11,22,20.25,40648
1600,HOEHNE REORGANIZED 3,0,3,1,183,164,0,3,0.01,16,0.384,354,0.944,1,1,0.9,1,1,21.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,20,20,16.25,53186
1620,AGUILAR REORGANIZED 6,0,0,0,77,47,0,0,0.01,16,0.757,111,0.857,1,1,0.75,1,1,16.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,11,11,7.55,55100
1750,BRANSON REORGANIZED 82,2,3,18,103,330,0,15,0.01,16,0.168,470,0.808,0.808,0.813,0.8,0.813,0.8,14.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,29,29,28.2,38642
1760,KIM REORGANIZED 88,0,0,3,1,49,0,1,0.01,16,0.542,48,1,1,1,1,1,1,6.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,10,10,8.52,30497
1780,GENOA-HUGO C113,2,0,3,11,171,0,0,0.01,16,0.317,164,1,1,1,1,1,1,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,18,18,18.25,37477
1790,LIMON RE-4J,2,4,6,70,377,7,13,0.01,16,0.445,479,0.889,0.889,0.905,0.875,0.905,0.875,14.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,35,35,33.95,35809
1810,KARVAL RE-23,0,0,0,0,47,0,0,0.01,16,0.585,41,0.556,0.556,0.75,0.4,0.75,0.4,7.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,8,6.52,37702
1828,VALLEY RE-1,14,15,23,575,1597,0,60,0.01,16,0.499,2104,0.818,0.83,0.854,0.779,0.878,0.779,74.98285714,0,0,0,1,1,2,0,0,0,4,2,6,0,0,0,0,2,2,111,22,133,143,139.5,38296
1850,FRENCHMAN RE-3,2,1,0,18,180,0,2,0.01,16,0.41,178,0.941,0.941,1,0.917,1,0.917,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,20,20,19.56,40386
1860,BUFFALO RE-4J,3,1,6,27,263,2,4,0.01,16,0.35,306,1,1,1,1,1,1,13.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,23,23,22.59,44356
1870,PLATEAU RE-5,0,0,1,6,152,0,1,0.01,16,0.35,143,0.833,0.833,0.8,0.846,0.8,0.846,9.245,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13,3,16,17,17.35,38682
1980,DE BEQUE 49JT,0,2,2,15,171,0,0,0.01,16,0.456,171,0.7,0.7,1,0.571,1,0.571,10.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,18,18,17.39,44012
1990,PLATEAU VALLEY 50,9,5,17,73,328,3,2,0.01,16,0.278,424,0.255,0.388,0.419,0.179,0.548,0.313,17.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,27,28,28.23,42692
2000,MESA COUNTY VALLEY 51,150,176,122,5238,15537,25,857,0.01,16,0.511,21373,0.804,0.81,0.841,0.77,0.846,0.778,17.366,2,1,3,5,3,8,5,3,8,61,28,89,1,0,1,5,0,5,895,324,"1,219","1,333",1284.54,47919
2010,CREEDE SCHOOL DISTRICT,0,0,0,6,73,0,2,0.01,16,0.63,81,1,1,0,1,0,1,7.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,11,11,42865
2020,MOFFAT COUNTY RE:NO 1,24,8,19,518,1593,1,56,0.01,16,0.428,2064,0.886,0.886,0.951,0.831,0.951,0.831,21.2375,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,93,34,127,131,130.03,46327
2035,MONTEZUMA-CORTEZ RE-1,741,12,9,562,1397,6,95,0.01,16,0.677,2727,0.732,0.732,0.872,0.642,0.872,0.642,15.44363636,6,0,6,0,0,0,0,0,0,6,1,7,0,0,0,0,0,0,127,35,162,175,169,37923
2055,DOLORES RE-4A,33,0,1,119,557,2,21,0.01,16,0.363,669,0.891,0.891,1,0.75,1,0.75,9.105,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,37,14,51,54,52.38,40010
2070,MANCOS RE-6,44,1,1,81,360,1,13,0.01,16,0.559,458,0.923,0.962,1,0.867,1,0.933,15.63,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,25,8,33,34,32.55,37617
2180,MONTROSE COUNTY RE-1J,30,47,32,2401,3595,3,144,0.01,16,0.468,5966,0.779,0.792,0.863,0.714,0.868,0.733,19.576,2,1,3,4,1,5,0,0,0,1,0,1,0,0,0,0,0,0,244,99,343,352,344.5,46275
2190,WEST END RE-2,7,1,3,22,263,0,3,0.01,16,0.632,261,0.8,0.8,1,0.667,1,0.667,13.55,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,18,4,22,23,20.61,39517
2395,BRUSH RE-2(J),2,5,6,727,784,1,18,0.01,16,0.61,1472,0.85,0.86,0.852,0.848,0.869,0.848,16.1425,0,0,0,0,0,0,1,0,1,7,4,11,0,0,0,0,0,0,69,14,83,95,94.14,38213
2405,FORT MORGAN RE-3,16,15,145,1977,1015,1,44,0.01,16,0.693,3022,0.771,0.802,0.826,0.72,0.835,0.771,15.6725,0,1,1,0,0,0,0,0,0,10,1,11,1,0,1,0,0,0,136,50,186,199,196.4,40573
2505,WELDON VALLEY RE-20(J),0,1,0,37,192,0,0,0.01,16,0.413,208,0.905,0.905,0.917,0.889,0.917,0.889,12.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,6,17,18,18,35372
2515,WIGGINS RE-50(J),8,8,2,138,400,0,17,0.01,16,0.47,530,0.889,0.917,0.933,0.857,0.933,0.905,16.77333333,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,21,11,32,34,34.25,40788
2520,EAST OTERO R-1,9,5,12,894,406,9,20,0.01,16,0.756,1355,0.88,0.92,0.905,0.848,0.929,0.909,16.36333333,0,0,0,0,0,0,0,1,1,10,2,12,0,0,0,0,1,1,48,19,67,81,80.44,37446
2530,ROCKY FORD R-2,6,2,1,617,208,0,3,0.01,16,0.779,805,0.816,0.816,0.864,0.778,0.864,0.778,14.08333333,0,0,0,0,0,0,1,0,1,12,4,16,0,0,0,1,1,2,27,13,40,59,59.25,36408
2535,MANZANOLA 3J,0,0,1,77,49,0,2,0.01,16,0.701,127,0.846,0.846,1,0.667,1,0.667,7.825,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,13,2,15,16,16.46,32321
2540,FOWLER R-4J,0,1,0,96,294,0,5,0.01,16,0.54,396,0.885,0.962,0.889,0.882,1,0.941,11.87666667,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,1,0,1,19,11,30,35,33.95,37784
2560,CHERAW 31,0,1,1,60,151,3,0,0.01,16,0.629,202,1,1,1,1,1,1,12.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,18,18,17.63,38597
2570,SWINK 33,1,11,10,92,247,0,5,0.01,16,0.429,366,1,1,1,1,1,1,13.655,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,21,4,25,28,26.74,38090
2580,OURAY R-1,1,3,1,19,162,0,3,0.01,16,0.312,173,0.929,0.929,0.8,1,0.8,1,7.366666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,27,27,24.76,47467
2590,RIDGWAY R-2,2,2,0,33,283,0,14,0.01,16,0.303,304,1,1,1,1,1,1,11.34333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,31,31,28.94,43070
2600,PLATTE CANYON 1,15,10,2,116,801,0,45,0.01,16,0.304,907,0.824,0.824,0.846,0.813,0.846,0.813,15.71666667,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,50,11,61,64,62.07,44018
2610,PARK COUNTY RE-2,2,2,7,87,552,0,34,0.01,16,0.494,607,0.654,0.654,0.636,0.667,0.636,0.667,14.85,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,36,7,43,46,46.3,39893
2620,HOLYOKE RE-1J,0,3,3,266,307,0,2,0.01,16,0.425,581,0.872,0.897,0.765,0.955,0.824,0.955,12.60333333,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,2,0,2,32,10,42,47,47.05,38724
2630,HAXTUN RE-2J,0,0,2,24,293,2,8,0.01,16,0.355,290,0.913,0.913,1,0.8,1,0.8,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,25,25,24.6,39904
2640,ASPEN 1,1,26,15,198,1443,3,12,0.01,16,0.048,1670,0.926,0.933,0.961,0.895,0.961,0.907,13.314,0,0,0,0,0,0,1,0,1,2,1,3,0,0,0,0,0,0,102,37,139,143,138.86,58287
2650,GRANADA RE-1,0,0,0,163,51,0,3,0.01,16,0.65,197,0.75,0.75,0.667,0.833,0.667,0.833,12.02,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,13,3,16,20,18.07,39764
2660,LAMAR RE-2,11,2,6,881,659,0,18,0.01,16,0.665,1446,0.76,0.76,0.822,0.706,0.822,0.706,17.45166667,0,0,0,0,0,0,0,0,0,10,3,13,0,0,0,0,1,1,73,21,94,108,105.51,40687
2670,HOLLY RE-3,2,1,0,165,136,0,4,0.01,16,0.702,285,0.95,0.95,1,0.909,1,0.909,13.73666667,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,16,4,20,22,22.25,36385
2680,WILEY RE-13 JT,1,2,0,62,197,0,6,0.01,16,0.445,247,0.818,0.818,0.818,0.818,0.818,0.818,12.125,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,18,3,21,23,22.24,35839
2690,PUEBLO CITY 60,93,113,335,12128,4362,19,249,0.01,16,0.773,16482,0.739,0.747,0.805,0.68,0.813,0.688,17.63969697,5,2,7,7,2,9,7,5,12,207,70,277,0,0,0,4,3,7,507,179,686,998,1010.49,47260
2700,PUEBLO COUNTY 70,34,72,49,3486,5571,4,432,0.01,16,0.422,9353,0.855,0.863,0.905,0.809,0.908,0.821,19.6925,0,2,2,1,1,2,2,1,3,56,16,72,0,1,1,0,0,0,322,93,415,495,484.95,47696
2710,MEEKER RE1,15,1,2,104,619,2,2,0.01,16,0.349,694,0.902,0.902,0.882,0.917,0.882,0.917,17.17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,31,10,41,42,40.19,49066
2720,RANGELY RE-4,4,0,1,41,485,0,5,0.01,16,0.315,496,0.833,0.833,0.889,0.8,0.889,0.8,14.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,35,35,33.71,43895
2730,DEL NORTE C-7,2,2,0,242,188,0,6,0.01,16,0.536,440,0.839,0.839,0.846,0.833,0.846,0.833,12.43666667,0,0,0,0,0,0,0,0,0,7,7,14,0,0,0,0,0,0,13,8,21,35,35.09,37460
2740,MONTE VISTA C-8,20,1,3,824,308,1,16,0.01,16,0.695,1116,0.766,0.809,0.775,0.759,0.8,0.815,18.73833333,0,0,0,1,0,1,0,0,0,13,8,21,0,0,0,0,0,0,42,12,54,76,74.97,40566
2750,SARGENT RE-33J,6,4,2,98,261,0,5,0.01,16,0.359,376,1,1,1,1,1,1,15.25666667,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,15,10,25,28,25.15,40714
2760,HAYDEN RE-1,0,3,4,49,358,2,0,0.01,16,0.439,380,0.9,0.9,1,0.833,1,0.833,12.28666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,36,36,34.83,52753
2770,STEAMBOAT SPRINGS RE-2,3,36,19,347,2116,9,50,0.01,16,0.158,2526,0.904,0.916,0.865,0.944,0.888,0.944,16.17428571,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,131,37,168,169,164.67,53803
2780,SOUTH ROUTT RE 3,0,1,2,19,325,1,5,0.01,16,0.401,327,0.821,0.821,0.857,0.786,0.857,0.786,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,31,31,30.22,40629
2790,MOUNTAIN VALLEY RE 1,0,0,0,31,99,0,2,0.01,16,0.828,122,0.909,0.909,0.857,1,0.857,1,8.7,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,10,2,12,15,15.13,32776
2800,MOFFAT 2,2,3,3,18,155,0,20,0.01,16,0.796,191,1,1,1,1,1,1,10.235,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,13,6,19,22,20.46,36576
2810,CENTER 26 JT,13,0,2,560,60,0,0,0.01,16,0.946,596,0.735,0.735,0.724,0.75,0.724,0.75,16.986,0,0,0,1,0,1,0,1,1,10,5,15,0,0,0,0,0,0,20,10,30,47,45.46,37024
2820,SILVERTON 1,0,0,0,27,53,0,0,0.01,16,0.603,73,0.6,0.6,0.333,1,0.333,1,7.256666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,11,10.91,45589
2830,TELLURIDE R-1,3,4,5,152,711,2,23,0.01,16,0.232,900,0.934,0.984,0.92,0.944,1,0.972,11.655,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,58,18,76,81,76.6,56703
2840,NORWOOD R-2J,3,3,0,22,213,0,2,0.01,16,0.498,223,0.909,0.909,0.917,0.9,0.917,0.9,11.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,23,23,20.5,43609
2862,JULESBURG RE-1,7,5,13,174,408,1,25,0.01,16,0.55,589,0.483,0.508,0.467,0.5,0.483,0.533,17.00666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,38,38,36.01,42056
3000,SUMMIT RE-1,5,24,34,1222,2142,2,128,0.01,16,0.324,3398,0.901,0.906,0.931,0.876,0.943,0.876,13.99111111,2,0,2,1,0,1,0,1,1,11,3,14,0,0,0,0,0,0,205,49,254,272,248.92,55040
3010,CRIPPLE CREEK-VICTOR RE-1,5,2,4,33,321,1,8,0.01,16,0.701,344,0.625,0.667,0.889,0.467,0.889,0.533,13.005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,21,9,30,31,29.91,38595
3020,WOODLAND PARK RE-2,13,24,22,236,2073,3,109,0.01,16,0.31,2372,0.801,0.831,0.845,0.76,0.866,0.798,17.672,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,108,31,139,142,139.98,45295
3030,AKRON R-1,2,5,1,68,291,0,11,0.01,16,0.503,362,0.789,0.842,0.75,0.818,0.75,0.909,12.845,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,22,6,28,29,28.42,38851
3040,ARICKAREE R-2,0,0,1,30,66,0,0,0.01,16,0.451,91,1,1,1,1,1,1,7.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,5,14,15,13.1,34697
3050,OTIS R-3,1,1,6,13,216,0,5,0.01,16,0.496,226,1,1,1,1,1,1,12.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,22,22,19.26,34822
3060,LONE STAR 101,0,1,0,18,95,1,0,0.01,16,0.487,115,1,1,1,1,1,1,8.463333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,17,17,14.74,35140
3070,WOODLIN R-104,0,0,3,15,95,0,0,0.01,16,0.49,98,1,1,1,1,1,1,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,13,13,12.11,26649
3080,WELD COUNTY RE-1,17,5,11,1101,845,0,25,0.01,16,0.545,1879,0.805,0.805,0.882,0.746,0.882,0.746,15.53,0,0,0,0,0,0,1,0,1,15,4,19,0,0,0,0,0,0,92,24,116,136,133.62,45615
3085,EATON RE-2,3,9,8,463,1364,0,31,0.01,16,0.327,1878,0.928,0.928,0.944,0.915,0.944,0.915,15.836,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,1,0,1,91,24,115,120,116.31,45515
3100,WINDSOR RE-4,22,69,33,875,4880,0,155,0.01,16,0.163,5881,0.906,0.92,0.946,0.864,0.959,0.879,17.662,0,0,0,4,1,5,0,0,0,7,1,8,0,0,0,1,2,3,263,65,328,344,334.91,48273
3110,JOHNSTOWN-MILLIKEN RE-5J,7,32,23,1123,2576,3,66,0.01,16,0.285,3697,0.862,0.882,0.904,0.822,0.904,0.861,20.15833333,0,0,0,0,0,0,0,0,0,8,4,12,0,0,0,0,0,0,133,46,179,191,189.77,52097
3120,GREELEY 6,73,533,503,13125,7354,53,309,0.01,16,0.654,21938,0.771,0.784,0.808,0.734,0.819,0.749,20.85258065,6,0,6,6,3,9,1,6,7,114,24,138,1,0,1,0,0,0,837,244,"1,081","1,242",1213.72,49386
